,nr,pytanie_po_polsku,pytanie_bez_mcq,pytanie_po_angielsku,odpowiedź,A,B,C,D,E,tags,marked,baza_pytań,część,dziedzina,tematy,,ID
,30,,"U 72-letniego mężczyzny z nowo rozpoznanym rakiem płuca stwierdzono w badaniach stężenie sodu w surowicy krwi 119 mmol/l. U mężczyzny nie stwierdza się obrzęków ani cech odwodnienia. Kilkukrotny dożylny wlew 500 ml 0,9% roztworu chlorku sodu nie spowodował podwyższenia stężenia sodu w surowicy krwi. Wskaż, które postępowanie należy zastosować w celu normalizacji stężenia sodu we krwi:",,,dożylny wlew 3% roztworu chlorku sodu.,dożylny wlew 10% roztworu chlorku sodu.,zwiększenie spożycia soli kuchennej doustnie.,ograniczenie podaży wody.,zwiększenie podaży wody., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,31,,U 76-letniego mężczyzny stwierdzono stężenie TSH wynoszące 16 mIU/l i obniżone stężenie FT4. U mężczyzny rozpoczęto leczenie lewotyroksyną. Która z wymienionych dawek będzie najlepsza przy rozpoczęciu leczenia lewotyroksyną u tego pacjenta:,,,25 µg na dobę.,75 µg na dobę.,100 µg na dobę.,150 µg na dobę.,200 µg na dobę., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,32,,W leczeniu niepowikłanego zapalenia pęcherza moczowego lekiem pierwszego wyboru nie jest:,,,furazydyna.,kotrimoksazol.,trimetoprim.,fosfomycyna.,klindamycyna., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,33,,"U 24-letniego chorego na cukrzycę typu 1, leczonego insuliną w 4 wstrzyknięciach podskórnych na dobę, doszło do nagłej utraty przytomności. Pacjent oddycha prawidłowo i jego tętno wynosi 120/minutę. W takiej sytuacji należy:",,,podać jak najszybciej dożylnie roztwór 5% glukozy.,podać jak najszybciej dożylnie roztwór 20% glukozy.,podać jak najszybciej podskórnie insulinę.,podać jak najszybciej dożylnie insulinę.,oznaczyć stężenie glukozy i dopiero na podstawie stężenia wtedy zadecydować o podaży glukozy lub insuliny dożylnie., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,34,,Przyczyną wystąpienia szmeru oskrzelowego nad płucami jest:,,,przewlekłe zapalenie oskrzeli.,zapalenie płuc.,niedodma płuca z obturacją.,rozedma płuc.,astma., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,35,,"Wskaż próg, powyżej którego rozpoznaje się zespół bezdechu sennego lub zespół śródsennego osłabienia oddychania:",,,1 okres bezdechu (trwający 10 sekund lub dłużej) lub niedostatecznego oddychania (zmniejszenie oddychania o 50% trwające 10 sekund lub dłużej) na godzinę snu.,5 okresów bezdechu (trwające 10 sekund lub dłużej) lub niedostatecznego oddychania (zmniejszenie oddychania o 50% trwające 10 sekund lub dłużej) na godzinę snu.,15 okresów bezdechu (trwające 10 sekund lub dłużej) lub niedostatecznego oddychania (zmniejszenie oddychania o 50% trwające 10 sekund lub dłużej) na godzinę snu.,25 okresów bezdechu (trwające 10 sekund lub dłużej) lub niedostatecznego oddychania (zmniejszenie oddychania o 50% trwające 10 sekund lub dłużej) na godzinę snu.,50 okresów bezdechu (trwające 10 sekund lub dłużej) lub niedostatecznego oddychania (zmniejszenie oddychania o 50% trwające 10 sekund lub dłużej) na godzinę snu., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,36,,"Wskaż objawy retencji CO2 w ostrej nakładającej się na przewlekłą niewydolności oddechowej typu II:
1) splątanie;
2) zimny obwód ciała;
3) trzepoczące drżenie rąk;
4) tachykardia zatokowa;
5) tętno skaczące. Prawidłowa odpowiedź to:",,,"1,2.","2,4.","2,4,5.","1,3,5.",tylko 1., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,37,,"Wskaż prawdziwe stwierdzenia dotyczące zaporowych (obturacyjnych) chorób płuc u osób w podeszłym wieku:
1) astma nie pojawia się po raz pierwszy w wieku podeszłym, stąd objawy obturacji można przypisać przewlekłej obturacyjnej chorobie płuc;
2) pozytywne skutki rezygnacji z palenia tytoniu obserwuje się nawet do 80 roku życia;
3) zaawansowany wiek jest barierą uniemożliwiającą podejmowanie intensywnej terapii i wentylacji mechanicznej w ostrym epizodzie przewlekłej obturacyjnej choroby płuc;
4) ludzie starsi w mniejszym stopniu niż młodzi odczuwają zwężenie dróg oddechowych, zatem na podstawie ich opisu nie można wnioskować o nasileniu tego stanu;
5) w wieku podeszłym przyspieszenie czynności serca jest mniejsze w porównaniu do ludzi młodych przy tym samym stopniu zwężenia oskrzeli. Prawidłowa odpowiedź to:",,,"1,3.","3,4.","1,4,5.","1,5.","2,4,5.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,38,,"Regularną terapię przeciwzapalną w astmie, najlepiej w postaci wziewnych kortkosteroidów należy podjąć u pacjenta, który:
1) nie stosuje agonistów receptorów β2-adrenergicznych;
2) doświadcza dolegliwości pojawiających się nie częściej niż jeden raz w tygodniu;
3) budzi się z powodu astmy co najmniej jeden raz w tygodniu;
4) podaje, że dolegliwości występują trzy razy w tygodniu lub częściej;
5) doświadczył zaostrzenia choroby w ciągu ostatnich 2 lat. Prawidłowa odpowiedź to:",,,"3,4,5.","1,2,3.","1,5.",tylko 4.,tylko 5., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,39,,W leczeniu antybiotykami niepowikłanego pozaszpitalnego zapalenia płuc należy zastosować:,,,"amoksycylinę 500 mg co 8 godzin doustnie, a jeśli pacjent jest uczulony na penicylinę klarytromycynę 500 mg co 12 godzin doustnie lub erytromycynę 500 mg co 6 godzin doustnie.","amoksycylinę 500 mg co 8 godzin doustnie, a jeśli pacjent jest uczulony na penicylinę cefuroksym 1,5 g co 8 godzin dożylnie.","cefuroksym 500 mg co 12 godzin, a jeśli pacjent jest uczulony na penicilinę erytromycynę 500 mg co 6 godzin doustnie.","erytromycynę 500 mg co 6 godzin doustnie, a jeśli pacjent jest uczulony na penicylinę cefuroksym 500 mg co 12 godzin.","amoksycylinę 500 mg co 8 godzin doustnie, a jeśli pacjent jest uczulony na penicylinę cefuroksym 500 mg co 12 godzin.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,40,,Wskaż prawdziwe stwierdzenie dotyczące leczenia astmy w ciąży i okresie karmienia piersią:,,,"należy odstawić leki z grupy doustnych antagonistów receptorów leukotrienowych, nawet jeśli powodowały one znaczącą poprawę kontroli astmy przed ciążą.",prostaglandyna F2α może spowodować skurcz oskrzeli i powinna być stosowana z ekstremalną ostrożnością.,w okresie karmienia piersią należy odstawić leki.,ciąża nigdy nie powoduje pogorszenia kontroli astmy.,w ciąży należy zawsze odstawić wziewne kortykosteroidy., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,41,,Wskaż fałszywe stwierdzenie:,,,plamica Henocha i Schönleina dotyczy dzieci i nigdy nie występuje u dorosłych.,obraz mikroskopowy bioptatu nerek jest nie do odróżnienia od obrazu ostrej nefropatii IgA.,ból brzucha jest spowodowany zapaleniem naczyń zajmujących naczynia krwionośne przewodu pokarmowego.,do obrazu klinicznego należą bóle stawów.,"występuje krwiomocz makro- lub mikroskopowy, z białkomoczem lub bez niego.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,42,,Wskaż prawdziwe stwierdzenie:,,,ustanie wydzielania potu (hipohydrosis) połowy twarzy jest wynikiem niedrożności żyły głównej górnej spowodowanej przez guz szczytu płuca.,ustanie wydzielania potu (hipohydrosis) połowy twarzy jest wynikiem zajęcia przez proces nowotworowy splotu ramiennego przez guz szczytu płuca.,ustanie wydzielania potu (hipohydrosis) połowy twarzy jest wynikiem zajęcia przez proces nowotworowy pnia współczulnego w miejscu splotu gwiaździstego lub ponad nim.,ustanie wydzielania potu (hipohydrosis) połowy twarzy jest wynikiem zepołu nieadekwatnego wydzielania hormonu antydiuretycznego przez rak oskrzela.,ustanie wydzielania potu (hipohydrosis) połowy twarzy jest wynikiem miastenii w przebiegu raka oskrzela., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,43,,Wskaż objaw kliniczny zespołu rakowiaka:,,,napadowe zblednięcia skóry twarzy.,przewlekłe zaparcia.,bielactwo.,zanik mięśni kłębu kciuka.,utrwalone teleangiektazje., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,44,,Niebieskie twardówki są objawem:,,,zespołu Turnera.,achondroplazji.,zespołu Downa.,wrodzonej łamliwości kości.,zespołu Marfana., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,45,,"U pacjenta wystąpiły objawy hipoglikemii. Stwierdzono niski poziom glukozy we krwi w pomiarze wykonanym w czasie trwania objawów, objawy ustąpiły po skorygowaniu hipoglikemii. Stężenie insuliny i peptydu C we krwi było podwyższone. Wskaż przyczyne:
1) niedoczynność przysadki;
2) guz insulinowy;
3) pierwotna niedoczynność przysadki;
4) pochodne sulfonylomocznika;
5) egzogenna insulina. Prawidłowa odpowiedź to:",,,"1,3,5.","1,3.","2,4.",tylko 3.,tylko 5., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,46,,U pacjenta z guzem chromochłonnym czynnym hormonalnie niezbędne jest leczenie farmakologiczne celem przygotowania pacjenta do zabiegu operacyjnego. Polega ono na:,,,podawaniu leku β-adrenolitycznego przez 6 tygodni i dołączeniu leku αadrenolitycznego w przypadku małego efektu hipotensyjnego.,podawaniu wyłącznie leku α-adrenolitycznego przez 6 tygodni; lek β-adrenolityczny jest zawsze przeciwwskazany.,"podawaniu leku α-adrenolitycznego, a w przypadku znacznej tachykardii dodaniu leku β-adrenolitycznego.","podawaniu leku α-adrenolitycznego, a w przypadku małego efektu hipotensyjnego dołączeniu diuretyku pętlowego.","podawaniu leku α-adrenolitycznego, a w przypadku małego efektu hipotensyjnego dołączeniu diuretyku tiazydowego.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,47,,Wskaż prawdziwe stwierdzenie dotyczące biegunki żółciowej:,,,"nie odpowiada na leczenie z wykorzystaniem żywic jonowymiennych, takich jak cholestyramina.","nigdy nie towarzyszy jej kamica żółciowa, ponieważ nadmiar żółci jest wydalany do jelita cienkiego.",występuje wyłącznie jak powikłanie po resekcji jelita cienkiego.,nigdy nie występuje w cukrzycy ze względu na zaburzenia motoryki przewodu pokarmowego w tej chorobie.,pacjenci zgłaszają się do lekarza z nagłą wodnistą biegunką lub łagodną tłuszczową., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,48,,Wskaż prawdziwe stwierdzenie dotyczące raka brodawki Vatera:,,,zawsze powoduje wystąpienie stałej żółtaczki.,"manifestuje się bólem, niedokrwistością, wymiotami, utratą masy ciała.",rokowanie jest gorsze niż w przypadku raka dróg żółciowych.,"rozpoznanie nie opiera się na endoskopowym badaniu dwunastnicy z biopsją guza, lecz na endoskopowej ultrasonografii.",leczenie chirurgiczne obejmuje wyłącznie zabiegi paliatywne – zepolenie omijające lub umieszczenie stentu., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,49,,"Wskaż prawdziwe stwierdzenia dotyczące raka rdzeniastego tarczycy:
1) powstaje z komórek okołopęcherzykowych C tarczycy;
2) leczenie jodem radioaktywnym i supresja TSH za pomocą lewotyroksyny nie mają zastosowania w leczeniu tegu typu nowotworu;
3) odległe przerzuty w momencie rozpoznania występują często;
4) może wydzielać kalcytoninę, serotoninę, ACTH;
5) w następstwie hyperkalcytonemii mogą występować przewlekłe zaparcia. Prawidłowa odpowiedź to:",,,"3,5.","1,3.","1,2,4.",tylko 4.,tylko 1., choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
,50,,Skrining w kierunku raka wątrobowokomórkowego (HCC):,,,"polega na wykonywaniu badania ultrasonograficznego i pomiarów alfa-fetoproteiny (AFP) co 12 miesięcy, u pacjentów wysokiego ryzyka, do których zalicza się chorych z marskością wątroby spowodowaną zapaleniem wątroby typu B i C, hemochromatozą, alkoholem;","polega na wykonywaniu badania ultrasonograficznego i pomiarów alfa-fetoproteiny (AFP) co 6 miesięcy, u pacjentów wysokiego ryzyka, do których zalicza się chorych z marskością wątroby spowodowaną zapaleniem wątroby typu B i C, hemochromatozą, alkoholem;","polega na wykonywaniu badania ultrasonograficznego i pomiarów alfa-fetoproteiny (AFP) co 6 miesięcy, u pacjentów wysokiego ryzyka, do których zalicza się chorych z marskością wątroby spowodowaną zapaleniem wątroby typu B i C, hemochromatozą, z wyłączeniem alkoholu;","polega na wykonywaniu badania ultrasonograficznego i pomiarów alfa-fetoproteiny (AFP) co 12 miesięcy, u pacjentów wysokiego ryzyka, do których zalicza się chorych z marskością wątroby spowodowaną zapaleniem wątroby typu B i C, hemochromatozą, z wyłączeniem alkoholu;","polega na wykonywaniu badania ultrasonograficznego i pomiarów alfa-fetoproteiny (AFP) co 6 miesięcy, u pacjentów wysokiego ryzyka, do których zalicza się chorych z marskością wątroby spowodowaną wyłącznie zapaleniem wątroby typu B i C.", choroby_wewnętrzne,,CEM,część_2,choroby_wewnętrzne,,choroby_wewnętrzne,
