id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,11,Wskaż fałszywe stwierdzenie dotyczące nowotworu neuroendokrynnego żołądka:,E,może wystąpić w przebiegu zespołu Zollinger-Ellisona.,"sporadyczny nowotwór (typ
3) jest związany z najgorszym rokowaniem z powodu skłonności do rozsiewu.",może wystąpić na podłożu zanikowego zapalenia błony śluzowej żołądka.,wystąpienie „zespołu rakowiaka” świadczy o dużym zaawansowaniu choroby (przerzuty).,do rozpoznania wystarczające jest stwierdzenie ponad dwukrotnie podwyższonego stężenia chromograniny A we krwi.,choroby_wewnętrzne,,,,
,12,"U 23-letniej chorej z rozpoznanym od miesiąca reumatoidalnym zapaleniem stawów, która do tej pory nie rodziła, nie należy w terapii stosować:",A,leflunomidu.,metotreksatu.,niesteroidowych leków przeciwzapalnych.,glikokortykosteroidów.,kwasu foliowego w dawce powyżej 5 mg/d.,choroby_wewnętrzne,,,,
,13,"Jakie sytuacje kliniczne mogą prowadzić do wystąpienia niedomykalności aortalnej?
1) rozwarstwienie aorty typu B wg klasyfikacji Stanford;
2) dylatacja aorty w przebiegu wieloletniego nadciśnienia tętniczego;
3) kardiomiopatia niedokrwienna z rozstrzenią lewej komory;
4) ubytek w przegrodzie międzykomorowej typu odpływowego;
5) ostre zapalenie mięśnia sercowego.
Prawidłowa odpowiedź to:",D,"1,2,3.","1,3,5.","4,5.","2,4.",tylko 2.,choroby_wewnętrzne,,,,
,14,Wskaż prawdziwe stwierdzenie dotyczące zasad i czasu leczenia przewlekłego zapalenia wątroby typu B (PZW B):,D,PZW B powinno leczyć się pegylowanym interferonem dożywotnio.,PZW B powinno leczyć się lamiwudyną dożywotnio u każdego chorego HBsAg dodatniego.,PZW B powinno leczyć się entekawirem lub tenofowirem przez 48 tygodni.,PZW B powinno leczyć się pegylowanym interferonem u wybranych chorych przez 48 tygodni lub entekawirem lub tenofowirem do utraty antygenu HBs i pojawienia się anty-HBs.,PZW B nie wymaga obecnie leczenia przeciwwirusowego.,choroby_wewnętrzne,,,,
,15,"Do czynników ryzyka sprzyjających zachorowaniu na pozaszpitalne zapalenie płuc należą:
1) zła higiena jamy ustnej i próchnica zębów;
2) przewlekła choroba zwyrodnieniowa stawów kręgosłupa;
3) podeszły wiek;
4) praca w klimatyzowanym pomieszczeniu;
5) leczenie glikokortykosteroidami.
Prawidłowa odpowiedź to:",B,"1,2,4.","1,3,5.","2,4,5.","1,3,4.","3,4,5.",choroby_wewnętrzne,,,,
,16,Rak trzustki może być związany z:,E,otyłością.,paleniem tytoniu.,cukrzycą.,prawdziwe są odpowiedzi A i B.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,,,
,17,Oznaczanie utraty albuminy w 24-godzinnej zbiórce moczu może być najlepiej zastąpione przez:,B,stosunek albuminy do kreatyniny w 24-godzinnej zbiórce moczu.,stosunek albuminy do kreatyniny w pierwszej próbce porannego moczu.,stosunek albuminy do kreatyniny w dowolnej próbce moczu.,stosunek białka całkowitego do kreatyniny w 24 godz. zbiórce moczu.,wykrywanie albuminy metodą paskową w dowolnej próbce moczu.,choroby_wewnętrzne,,hematologia,,
,18,Stwierdzenie podwyższonego stężenia antygenu swoistego dla prostaty (PSA):,C,upoważnia do rozpoznania raka gruczołu krokowego.,jest wskazaniem do wykonania przezodbytniczej ultrasonografii z biopsją cienkoigłową.,jest wskazaniem do wykonania przezodbytniczej ultrasonografii z pobraniem wycinków do badania histologicznego.,jest wskazaniem do wykonania badania magnetycznego rezonansu miednicy.,jest wskazaniem do wykonania badania pozytonowej tomografii emisyjnej.,choroby_wewnętrzne,,,,
,19,"Wskaż badanie laboratoryjne, które wykonuje się w celu rozstrzygnięcia czy wodobrzusze powstało w mechanizmie nadciśnienia wrotnego:",C,test APRI (stosunek aktywności aminotransferazy asparaginianowej do liczby płytek krwi).,stężenie markera CA125 w płynie puchlinowym.,różnica stężeń albumin w surowicy i płynie puchlinowym.,pH krwi i płynu puchlinowego.,stężenie fibronektyny w płynie puchlinowym.,choroby_wewnętrzne,,,,
,20,Śródmiąższowe zapalenie płuc:,D,jest najczęstszą manifestacją raka płuca.,może być następstwem stosowania immunoterapii przeciwnowotworowej.,jest wskazaniem do stosowania kortykosteroidów.,prawdziwe są odpowiedzi B i C.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,,,
,21,Lekiem pierwszego rzutu w terapii świądu skóry w chorobach cholestatycznych wątroby jest:,A,cholestyramina.,ryfampicyna.,naltrekson.,ryfaksymina.,kwas ursodeoksycholowy.,choroby_wewnętrzne,,,,
,22,"Pacjent lat 58, dotąd nie leczący się z powodu chorób przewlekłych, zgłasza od dłuższego czasu tendencję do zaparć. Zgłosił się do szpitala z powodu wypróżnień z widoczną świeżą krwią, trwających od dwóch dni. Pacjent w stanie ogólnym dobrym. RR 135/65 mmHg, HR 84/min, temp. 36,6 °C, BMI 31 kg/m . Chory miał wykonaną kolonoskopię przesiewową w 55. r.ż., w której rozpoznano tylko uchyłki esicy. Wskaż najbardziej prawdopodobną przyczynę krwawienia:",C,wrzodziejące zapalenie jelita grubego.,guzki krwawnicze.,uchyłki jelita grubego.,rak jelita grubego.,angiodysplazja.,choroby_wewnętrzne,,,,
,23,"U pacjenta z ostrym uszkodzeniem nerek stwierdzono w biopsji cechy mikroangiopatii zakrzepowej. Może ona wystąpić w przebiegu:
1) ziarniniakowatości z zapaleniem naczyń (GPA);
2) fazy złośliwej nadciśnienia tętniczego;
3) atypowego zespołu hemolityczno-mocznicowego;
4) zespołu płucno-nerkowego;
5) zespołu antyfosfolipidowego.
Prawidłowa odpowiedź to:",B,"1,3,5.","2,3,5.","1,2,3,5.","2,4,5.","2,3,4.",choroby_wewnętrzne,,,,
,24,"Na izbę przyjęć zgłasza się z powodu bólu w klatce piersiowej 60-letni pacjent z cukrzycą, nadciśnieniem tętniczym i napadowym migotaniem przedsionków. W badaniach laboratoryjnych stwierdzono podwyższone stężenie troponin sercowych. 2 Przyczyną powyższych dolegliwości może być:
1) dusznica niestabilna;
2) tętniak rozwarstwiający aorty;
3) migotanie przedsionków z szybką akcją komór;
4) zdekompensowana niewydolność serca;
5) zatorowość płucna;
6) zawał serca NSTEMI;
7) udar mózgu; 8) choroba refluksowa przełyku i przewlekła choroba nerek.
Prawidłowa odpowiedź to:",E,tylko 6.,"2,3,6.","2,3,5,6.","2,3,5,6,8.",wszystkie wymienione.,choroby_wewnętrzne,,,,
,25,Duszność typu ortopnoe u pacjenta z niewydolnością lewokomorową typowo pojawia się:,D,"późno po położeniu się, budzi chorego ze snu i ustępuje po ≥ 30 minutach od pionizacji.","późno po położeniu się, ale nie budzi chorego ze snu i ustępuje po ≥ 30 minutach od pionizacji.",natychmiast po położeniu się i ustępuje natychmiast po przyjęciu pozycji siedzącej lub stojącej.,po 1-2 minutach po położeniu się i ustępuje w kilka minut po przyjęciu pozycji siedzącej lub stojącej.,po około kwadransie od położenia się i ustępuje po ≥ 30 minutach od przyjęcia pozycji siedzącej.,choroby_wewnętrzne,,,,
,26,28-letni chory bez obciążającego wywiadu chorobowego zgłosił się do poradni lekarza rodzinnego z powodu nasilających się od tygodnia osłabienia i obrzęków kończyn dolnych w ciągu dnia oraz nykturii. W badaniu fizykalnym prawidłowe ciśnienie tętnicze oraz obrzęki wokół kostek. Występujące objawy z największym prawdopodobieństwem sugerują:,E,różę.,zakrzepowe zapalenie głębokiego układu żylnego.,zastoinową niewydolność serca.,zespół nerczycowy w przebiegu amyloidozy.,zespół nerczycowy w przebiegu kłębuszkowego zapalenia nerek.,choroby_wewnętrzne,,,,
,27,"U 54-letniego mężczyzny nadużywającego alkoholu tomografia komputerowa wykazała nierówności konturu wątrobowego i powiększoną śledzionę oraz w prawym płacie wątroby zmianę ogniskową o średnicy 3,5 cm. Zmiana ta wzmacniała się silniej od reszty wątroby w fazie tętniczej badania oraz wypłukiwała się z kontrastu w fazie żylnej badania. Radiolog zasugerował rozpoznanie gruczolaka wątroby. Stężenie alfafetoproteiny wynosi 14 ng/ml (norma < 5 ng/ml). Wskaż dalsze postępowanie:",E,wykonanie biopsji celowanej (ocena histopatologiczna).,zmiana jest naczyniakiem wątroby i nie wymaga dalszych badań.,skierowanie pacjenta do chirurga w celu resekcji prawego płata wątroby.,wykonanie kolejnego badania TK lub MRI po 3 miesiącach.,rozpoznanie raka wątrobowokomórkowego i wybór odpowiedniej formy leczenia.,choroby_wewnętrzne,,,,
,28,"56-letnia kobieta z nawrotową obustronną kamicą nerkową, rozpoznaną przed 10 laty, depresją trudno poddającą się leczeniu, nadciśnieniem tętniczym i paląca papierosy zgłosiła się z wykonanym bez konsultacji z lekarzem wynikiem densytometrii metodą DXA kości przedramienia, w którym stwierdzono T-score: -2,9. Wskaż najważniejsze badania w dalszym postępowaniu diagnostycznym:",C,"oznaczenie stężenia TSH, kreatyniny, aldosteronu w surowicy krwi.","wykonanie densytometrii metodą DXA bliższego odcinka kości udowej, oznaczenie stężenia wapnia i kreatyniny w surowicy krwi.","oznaczenie stężenia wapnia, fosforanów i PTH w surowicy krwi.","oznaczenie stężenia kreatyniny, PTH i TSH w surowicy krwi, badanie ogólne moczu.","oznaczenie stężenia wapnia, ALP i glukozy w surowicy krwi, badanie ogólne moczu.",choroby_wewnętrzne,,,,
,29,W przypadku zajęcia układu oddechowego u chorej na toczeń układowy pod postacią toczniowego zapalenia płuc można zastosować:,E,glikokortykosteroidy w dużych dawkach doustnych lub w postaci dożylnych pulsów.,cyklofosfamid w postaci dożylnych pulsów.,zabiegi plazmaferezy.,"azatioprynę, zwłaszcza jako leczenie podtrzymujące po indukcji za pomocą cyklofosfamidu.",wszystkie powyższe.,choroby_wewnętrzne,,,,
,30,Wskaż zestaw objawów najbardziej charakterystyczny dla zapalenia opon mózgowordzeniowych:,E,"porażenie nerwu czaszkowego, nudności.","utrata przytomności, drgawki.","drgawki, wysoka gorączka.","nudności, ból głowy.","ból głowy, wysoka gorączka, sztywność karku.",choroby_wewnętrzne,,,,
,31,"U pacjenta z wieloletnią cukrzycą typu drugiego i cukrzycową chorobą nerek, leczonego dotąd lekami doustnymi doszło do progresji przewlekłej choroby nerek i do spadku współczynnika przesączania kłębuszkowego do 15 ml/min/1,73 m . Lekami, które można brać pod uwagę w dalszym leczeniu hipoglikemizującym są:",D,metformina i liraglutyd.,dapagliflozyna i insulina.,empagliflozyna i glipizyd.,linagliptyna i insulina. 2,sitagliptyna i insulina.,choroby_wewnętrzne,,endokrynologia,,
,32,Wskaż fałszywe stwierdzenie dotyczące kardiomiopatii restrykcyjnej (RCM):,B,w obrazie klinicznym zaawansowanej RCM dominuje prawokomorowa niewydolność serca.,postać nabyta RCM może rozwinąć się w przebiegu zaciskającego zapalenia osierdzia.,w elektrokardiogramie typowo stwierdza się małą amplitudę załamków R we wszystkich odprowadzeniach.,w badaniu echokardiograficznym zwraca uwagę powiększenie jam obu przedsionków przy stosunkowo małych komorach.,w diagnostyce RCM może być przydatna biopsja endomiokardialna.,choroby_wewnętrzne,,,,
,33,"Wynik badania morfologii krwi: WBC 126,2 G/L, LY 33,61 G/L, MO 82,95 G/L, NE 9,62 G/L, RBC 3,82 T/L, HGB 10,8 g/dL, MCV 84,6 fL, PLT 48 G/L sugeruje rozpoznanie:",C,przewlekłej białaczki limfocytowej.,przewlekłej białaczki szpikowej.,ostrej białaczki szpikowej.,czerwienicy prawdziwej.,odczynu poinfekcyjnego.,choroby_wewnętrzne,,hematologia,,
,34,"Wskaż prawdziwe stwierdzenia dotyczące gwałtownie postępującego kłębuszkowego zapalenia nerek z przeciwciałami przeciwko błonie podstawnej kłębuszków (anty-GBM):
1) szczyt zachorowań występuje u osób starszych > 60. roku życia;
2) w surowicy pacjentów stwierdza się autoprzeciwciała przeciwko niekolagenowej domenie łańcucha α3 (kolagenu IV);
3) leczenie indukcyjne obejmuje pulsy glikokortykosteroidów i cyklofosfamid;
4) przebieg kliniczny cechuje się częstymi nawrotami;
5) zmianom w nerkach mogą towarzyszyć zmiany w płucach w postaci krwawienia dopęcherzykowego.
Prawidłowa odpowiedź to:",D,"2,3,4.","1,3,4.","1,2,4.","2,3,5.","3,4,5.",choroby_wewnętrzne,,,,
,35,"W terapii podtrzymującej, po uzyskaniu remisji postaci rozplemowej nefropatii toczniowej zaleca się jako leczenie pierwszego wyboru:
1) mykofenolan mofetylu + prednizon;
2) cyklosporynę + prednizon;
3) cyklofosfamid doustny + prednizon;
4) azatioprynę + prednizon;
5) metotreksat + prednizon.
Prawidłowa odpowiedź to:",D,"1,2.","4,5.","1,5.","1,4.","3,4.",choroby_wewnętrzne,,,,
,36,"45-letnia pacjentka z marskością wątroby na podłożu infekcji HCV skarży się na znaczne osłabienie i duszność nasilającą się po zmianie pozycji ciała z leżącej na stojącą. W badaniach laboratoryjnych wykluczono niedokrwistość i sideropenię. Stężenie białka CRP jest prawidłowe. RTG klatki piersiowej nie wykazało nieprawidłowości. Jakie badanie należy wykonać, aby wyjaśnić przyczynę skarg pacjentki?",D,ultrasonografię dopplerowską naczyń jamy brzusznej i elektrokardiografię (EKG).,spirometrię i próbę wysiłkową.,echokardiografię i cewnikowanie serca.,gazometrię krwi i echokardiografię z użyciem wstrząśniętej soli fizjologicznej.,pomiar stężenia ferrytyny i rezonans magnetyczny jamy brzusznej.,choroby_wewnętrzne,,,,
,37,"78-letni chory został przywieziony przez zespół ratownictwa medycznego do szpitalnego oddziału ratunkowego z powodu ogólnego osłabienia, narastających od około miesiąca ciastowatych obrzęków kończyn dolnych i duszności. Chory z wieloletnim wywiadem dobrze kontrolowanego nadciśnienia tętniczego i reumatoidalnego zapalenia stawów (RZS), z utrzymującą się umiarkowaną aktywnością choroby pomimo stosowania niesteroidowych leków przeciwzapalnych. Z powodu narastających obrzęków lekarz POZ, przed 10 dniami, zalecił stosowanie furosemidu 2 razy dziennie. Leczenie to nie przyniosło zahamowania narastania obrzęków. W celu ustalenia przyczyny narastającej retencji płynu należy w pierwszej kolejności zlecić:",E,"pobranie krwi w celu oznaczenia stężenia CRP i OB, aby ocenić aktywność RZS.",pobranie krwi w celu oznaczenia stężenia troponiny i NT-proBNP.,wykonanie biopsji nerki.,pobranie moczu na posiew.,pobranie moczu w celu wykonania badania ogólnego oraz krwi w celu oznaczenia stężenia kreatyniny.,choroby_wewnętrzne,,,,
,38,75-letnia kobieta w badaniu kontrolnym ma stężenie sodu w surowicy krwi wynoszące 132 mmol/l. Kobieta ta nie zgłasza żadnych dolegliwości i nie bierze żadnych leków. Wskaż właściwy sposób postępowania:,E,należy jej podać dożylnie 10% NaCl.,należy jej podać dożylnie 3% NaCl.,"należy jej podać dożylnie 0,9% NaCl.",należy jej podać doustnie NaCl.,należy jej jedynie zalecić spożywanie zdrowej i zrównoważonej diety.,choroby_wewnętrzne,,,,
,39,"Wskaż kłębuszkowe zapalenia nerek, w przebiegu których stwierdza się w kłębuszkach nerkowych obecność złogów kompleksów immunologicznych:
1) nefropatia błoniasta;
2) nefropatia IgA;
3) ogniskowe segmentalne stwardnienie kłębuszków (FSGS);
4) submikroskopowe kłębuszkowe zapalenie nerek;
5) ostre poinfekcyjne kłębuszkowe zapalenie nerek.
Prawidłowa odpowiedź to:",A,"1,2,5.","1,3,4.","1,4,5.","2,3,5.","2,5.",choroby_wewnętrzne,,,,
,40,"Infliksymab (przeciwciała anty-TNF alfa) jest stosowany w nieswoistych chorobach zapalnych jelita w niżej wymienionych przypadkach, z wyjątkiem:",B,steroidooporności.,"nietolerancji tiopuryn (azatiopryna, 6-merkaptopuryna).",steroidozależności.,terapii ratunkowej w ciężkiej postaci wrzodziejącego zapalenia jelita grubego.,leczenia przetok okołoodbytowych w chorobie Leśniowskiego-Crohna.,choroby_wewnętrzne,,,,
,41,Wskaż fałszywe stwierdzenie dotyczące inhibitorów pompy protonowej (IPP):,A,wszystkie IPP muszą być stosowane 15-30 minut przed porannym posiłkiem.,mechanizm działania IPP polega na nieodwracalnym blokowaniu H /K -ATPazy komórek okładzinowych żołądka.,przewlekłe stosowanie IPP u osób z infekcją Helicobacter pylori może powodować zanikowe zapalenie błony śluzowej żołądka.,IPP podwyższają w stopniu umiarkowanym stężenie surowicze gastryny. + + E. u pacjentów z zespołem Zollingera-Ellisona zaleca się IPP w kilkukrotnie większej dawce od standardowej.,,choroby_wewnętrzne,,,,
,42,"Wskaż sytuacje kliniczne, w których rozwija się przewlekłe cewkowo-śródmiąższowe, niebakteryjne zapalenie nerek:
1) nefropatia dnawa;       
2) przewlekłe leczenie litem;     
3) pierwotny zespół Sjӧgrena;
4) nefropatia hiperkalcemiczna;
5) nefropatia hipokaliemiczna.
Prawidłowa odpowiedź to:",E,"2,3,4.","1,2,3.","1,2,4,5.","2,3,4,5.",wszystkie wymienione.,choroby_wewnętrzne,,,,
,43,"Kardiostymulatory wszczepialne oznaczane są trójliterowym kodem XYZ, w którym poszczególne litery oznaczają:",A,X - miejsce stymulacji; Y - miejsce odczytywania potencjałów; Z - tryb pracy.,X - miejsce odczytywania potencjałów; Y - miejsce stymulacji; Z - tryb pracy.,X - tryb pracy; Y - miejsce odczytywania potencjałów; Z - miejsce stymulacji.,X - tryb pracy; Y - miejsce stymulacji; Z - miejsce odczytywania potencjałów.,X - miejsce stymulacji; Y - tryb pracy; Z - miejsce odczytywania potencjałów.,choroby_wewnętrzne,,,,
,44,"Wskaż stany kliniczne przebiegające z „jałowym ropomoczem”:
1) gruźlica dróg moczowych;
2) ostre polekowe cewkowo-śródmiąższowe zapalenie nerek;
3) zakażenie Chlamydia trachomatis;
4) nefropatia toczniowa;
5) zespół Sjӧgrena.
Prawidłowa odpowiedź to:",E,"1,2,3,4.","1,4,5.","1,2,3,5.","3,4,5.",wszystkie wymienione.,choroby_wewnętrzne,,,,
,45,"U pacjentów przewlekle leczonych przeciwkrzepliwie antagonistami witaminy K (VKA) należy zwracać uwagę na liczne interakcje z innymi lekami oraz pożywieniem. Wskaż leki oraz produkty żywnościowe, które nasilają działanie VKA:
1) karbamazepina;
2) cyprofloksacyna;
3) amiodaron;
4) szpinak;
5) sok grejpfrutowy;
6) mesalazyna.
Prawidłowa odpowiedź to:",E,"1,2,3,6.","1,4,6.","2,3,4.","1,3,5,6.","2,3,5.",choroby_wewnętrzne,,,,
,46,"U 30-letniego mężczyzny wystąpił kolkowy ból w okolicy lędźwiowej lewej z krwiomoczem makroskopowym, dreszczami i gorączką 40 stopni C. Wskaż najbardziej prawdopodobne rozpoznanie:",B,kamica nerkowa.,kamica nerkowa z towarzyszącym zakażeniem układu moczowego.,ostre odmiedniczkowe zapalenie nerek.,nefropatia IgA.,martwica brodawek nerkowych.,choroby_wewnętrzne,,,,
,47,"Nadmierna podaż aktywnych preparatów witaminy D w przewlekłej chorobie nerek może być niebezpieczna, ze względu na:",D,nadmierne obniżenie PTH.,złamania spowodowane adynamiczną chorobą kości.,kalcyfikację naczyń krwionośnych.,"prawdziwe są odpowiedzi A,B,C.",prawdziwe są odpowiedzi A i C.,choroby_wewnętrzne,,,,
,48,Do oddziału intensywnej opieki kardiologicznej trafił pacjent z ostrą niewydolnością serca w klasie II wg klasyfikacji Forrestera. Jaki rodzaj leczenia będzie najwłaściwszy?,C,zastosowanie beta-blokera.,wyłącznie przetaczanie płynów.,zastosowanie diuretyków oraz leków rozszerzających naczynia.,zastosowanie diuretyków i leków obkurczających naczynia.,przetaczanie płynów i podanie beta-blokera.,choroby_wewnętrzne,,,,
,49,W przewlekłej chorobie nerek występuje predyspozycja do:,D,skazy krwotocznej.,zakrzepów.,chorób sercowo-naczyniowych.,"prawdziwe są odpowiedzi A,B,C.",prawdziwe są odpowiedzi A i C.,choroby_wewnętrzne,,,,
,50,"W celu kwalifikacji chorego do nefrektomii z powodu wodonercza bez wywiadu nawracających zakażeń, ale z opornym na leczenie nadciśnieniem tętniczym należy wykonać:",E,USG brzucha z oceną wielkości nerek.,USG Doppler z oceną przepływów w tętnicach nerkowych.,przeglądową tomografię komputerową brzucha.,urografię.,renoscyntygrafię.,choroby_wewnętrzne,,,,
,51,"65-letni mężczyzna uskarża się na bóle stawów kolanowych, szczególnie podczas aktywności fizycznej. Po odpoczynku ból ustępuje. W RTG stawów kolanowych w projekcji AP uzyskano następujący obraz: Wskaż przyczynę obserwowanych u pacjenta dolegliwości:",D,dna moczanowa.,alkaptonuria.,pseudodna.,choroba zwyrodnieniowa stawów.,reumatoidalne zapalenie stawów.,choroby_wewnętrzne,,,,
,52,"Pacjentka lat 76 zgłasza trwającą od tygodnia biegunkę. Od ok. roku przewlekle zażywa lanzoprazol w dawce 30 mg z powodu uporczywej zgagi. Ostatnio z powodu infekcji dróg moczowych zażywała ciprofloksacynę i osłonowo probiotyki. W dalszej diagnostyce należy wykluczyć:
1) chorobę trzewną;
2) przerost bakteryjny jelita cienkiego (SIBO);
3) mikroskopowe zapalenie jelita;
4) zakażenie Clostridium difficile;
5) chorobę uchyłkową jelita grubego.
Prawidłowa odpowiedź:",C,"1,2.","2,3.","3,4.","4,5.","3,4,5.",choroby_wewnętrzne,,,,
,53,"Od którego leku należy rozpocząć leczenie nowo rozpoznanej, bezobjawowej cukrzycy typu 2, jeżeli tylko nie ma przeciwwskazań do jego stosowania?",A,metformina.,glibenklamid.,gliklazyd.,insulina.,fenformina.,choroby_wewnętrzne,,,,
,54,"U pacjenta l. 66, z napadem migotania przedsionków stwierdzono TSH 0,1 mIU/l (N: 0,27-4,2) i FT4 1,98 ng/dl (N: 0,7-1,7). Z wywiadu wiadomo, że pacjent przyjmuje tyroksynę w dawce 100 µg/dobę z powodu rozpoznania niedoczynności tarczycy przed 3 latami. Wskaż optymalne postępowanie w zakresie zmiany leczenia choroby tarczycy:",A,należy zmniejszyć dawkę tyroksyny do 75 µg/dobę i skontrolować TSH za 4-6 tygodni.,należy odstawić całkowicie tyroksynę i skontrolować TSH za 3 dni.,należy odstawić całkowicie tyroksynę i skontrolować TSH za 3 miesiące.,należy wdrożyć leczenie tyreostatykiem.,należy skierować chorego na leczenie radiojodem.,choroby_wewnętrzne,,,,
,55,"Do wskazań do wytworzenia przezżylnego śródwątrobowego zespolenia wrotnosystemowego (TIPS) w przebiegu marskości wątroby nie należą:
1) encefalopatia wątrobowa;
2) nawracające krwawienie z żylaków przełyku i dna żołądka;
3) nawracające wodobrzusze;
4) zespół wątrobowo-nerkowy typu 2 z wodobrzuszem opornym na leczenie;
5) zespół wątrobowo-nerkowy typu 1.
Prawidłowa odpowiedź to:",C,"1,2.","2,3.","1,5.","3,4.",tylko 1.,choroby_wewnętrzne,,,,
